,EUR
2013-02-06,1475.82
2013-02-07,1472.0
2013-02-08,1459.12
2013-02-12,1466.73
2013-02-13,1471.86
2013-02-14,1460.83
2013-02-15,1449.16
2013-02-18,1440.52
2013-02-19,1445.54
2013-02-20,1447.83
2013-02-21,1432.02
2013-02-22,1430.09
2013-02-25,1432.74
2013-02-26,1420.96
2013-02-27,1421.53
2013-02-28,1425.78
2013-03-04,1408.47
2013-03-05,1421.28
2013-03-06,1418.26
2013-03-07,1406.46
2013-03-08,1423.46
2013-03-11,1415.97
2013-03-12,1431.69
2013-03-13,1426.46
2013-03-14,1422.41
2013-03-15,1437.88
2013-03-18,1432.99
2013-03-19,1442.83
2013-03-20,1427.88
2013-03-21,1445.21
2013-03-22,1440.07
2013-03-25,1449.4
2013-03-26,1430.68
2013-03-27,1425.04
2013-03-28,1417.39
2013-03-29,1425.21
2013-04-01,1424.83
2013-04-02,1433.03
2013-04-03,1427.05
2013-04-04,1439.19
2013-04-05,1452.9
2013-04-08,1464.44
2013-04-09,1481.78
2013-04-10,1490.02
2013-04-11,1486.9
2013-04-12,1480.18
2013-04-15,1482.02
2013-04-16,1468.01
2013-04-17,1476.02
2013-04-18,1453.79
2013-04-19,1464.71
2013-04-22,1461.04
2013-04-23,1465.39
2013-04-24,1456.71
2013-04-25,1456.58
2013-04-26,1448.74
2013-04-29,1446.45
2013-04-30,1451.28
2013-05-02,1452.75
2013-05-03,1436.92
2013-05-06,1442.46
2013-05-07,1430.3
2013-05-08,1430.68
2013-05-09,1431.14
2013-05-10,1417.12
2013-05-13,1430.24
2013-05-14,1446.64
2013-05-15,1434.73
2013-05-16,1433.87
2013-05-20,1429.7
2013-05-21,1441.4
2013-05-22,1437.2
2013-05-23,1428.82
2013-05-24,1452.83
2013-05-27,1459.35
2013-05-28,1455.2
2013-05-29,1446.1
2013-05-30,1463.4
2013-05-31,1471.42
2013-06-03,1463.96
2013-06-04,1473.98
2013-06-05,1467.54
2013-06-07,1482.32
2013-06-10,1468.1
2013-06-11,1489.28
2013-06-12,1509.46
2013-06-13,1509.02
2013-06-14,1516.38
2013-06-17,1505.86
2013-06-18,1507.23
2013-06-19,1512.77
2013-06-20,1505.08
2013-06-21,1515.34
2013-06-24,1514.47
