,BHD
2012-06-26,3078.96
2012-06-27,3076.58
2012-06-28,3069.15
2012-06-29,3060.4
2012-07-02,3055.36
2012-07-03,3033.61
2012-07-04,3028.04
2012-07-05,3011.33
2012-07-06,3014.51
2012-07-09,3019.55
2012-07-10,3030.16
2012-07-11,3032.02
2012-07-12,3034.67
2012-07-13,3039.18
2012-07-16,3054.11
2012-07-17,3044.03
2012-07-18,3033.08
2012-07-19,3024.32
2012-07-20,3020.08
2012-07-23,3025.73
2012-07-24,3042.09
2012-07-25,3045.28
2012-07-26,3052.7
2012-07-27,3042.89
2012-07-30,3023.53
2012-07-31,3013.71
2012-08-01,3005.76
2012-08-02,2990.9
2012-08-03,2998.33
2012-08-06,3012.12
2012-08-07,2987.98
2012-08-08,2990.11
2012-08-09,2991.96
2012-08-10,2987.19
2012-08-13,2992.23
2012-08-14,3000.45
2012-08-16,2995.41
2012-08-17,3005.49
2012-08-20,3006.02
2012-08-21,3011.86
2012-08-22,3003.9
2012-08-23,3006.55
2012-08-24,2999.39
2012-08-27,3007.08
2012-08-28,3012.12
2012-08-29,3016.37
2012-08-30,3007.88
2012-08-31,3009.47
2012-09-03,3008.94
2012-09-04,3002.04
2012-09-05,3002.04
2012-09-06,3010.61
2012-09-07,3009.55
2012-09-10,2998.67
2012-09-11,2993.63
2012-09-12,2995.41
2012-09-13,2987.27
2012-09-14,2991.51
2012-09-17,2971.8
2012-09-18,2957.56
2012-09-19,2964.64
2012-09-20,2963.05
2012-09-21,2965.97
2012-09-24,2969.15
2012-09-25,2970.29
2012-09-26,2967.03
2012-09-27,2972.68
2012-09-28,2967.11
2012-10-02,2951.99
2012-10-04,2951.38
2012-10-05,2953.05
2012-10-08,2945.89
2012-10-09,2947.75
2012-10-10,2945.89
2012-10-11,2955.7
2012-10-12,2958.62
2012-10-15,2947.21
2012-10-16,2949.87
2012-10-17,2936.45
2012-10-18,2930.88
2012-10-19,2930.5
2012-10-22,2931.75
2012-10-23,2931.3
2012-10-24,2923.87
2012-10-25,2927.59
2012-10-26,2921.49
2012-10-29,2908.49
2012-10-30,2906.74
2012-10-31,2902.12
2012-11-01,2892.84
2012-11-02,2893.48
2012-11-05,2894.43
2012-11-06,2895.76
2012-11-07,2895.23
2012-11-08,2883.55
2012-11-09,2886.47
2012-11-12,2890.49
2012-11-13,2887.0
2012-11-14,2892.04
2012-11-15,2883.86
2012-11-16,2882.49
2012-11-19,2889.39
2012-11-20,2883.02
2012-11-21,2872.68
2012-11-22,2873.21
2012-11-23,2875.6
2012-11-26,2881.43
2012-11-27,2877.72
2012-11-28,2875.6
2012-11-29,2879.05
2012-11-30,2877.19
2012-12-03,2873.21
2012-12-04,2873.85
2012-12-05,2874.38
2012-12-06,2871.2
2012-12-07,2871.73
2012-12-10,2871.47
2012-12-11,2862.98
2012-12-12,2857.41
2012-12-13,2853.16
2012-12-14,2844.07
2012-12-17,2848.39
2012-12-18,2845.74
2012-12-20,2842.82
2012-12-21,2846.76
2012-12-24,2852.29
2012-12-26,2850.7
2012-12-27,2848.12
2012-12-28,2844.68
2012-12-31,2840.89
2013-01-02,2840.89
2013-01-03,2823.99
2013-01-04,2821.6
2013-01-07,2822.4
2013-01-08,2820.54
2013-01-09,2820.01
2013-01-10,2817.09
2013-01-11,2814.17
2013-01-14,2802.24
2013-01-15,2801.18
2013-01-16,2799.32
2013-01-17,2808.6
2013-01-18,2806.75
2013-01-21,2801.18
2013-01-22,2811.52
2013-01-23,2823.19
2013-01-24,2825.84
2013-01-25,2833.8
2013-01-29,2871.2
2013-01-30,2885.87
2013-01-31,2871.81
2013-02-01,2888.18
2013-02-04,2898.86
2013-02-05,2888.44
2013-02-06,2882.61
2013-02-07,2887.91
2013-02-08,2889.24
2013-02-12,2901.17
2013-02-13,2902.23
2013-02-14,2881.54
2013-02-15,2877.04
2013-02-18,2861.92
2013-02-19,2871.47
2013-02-20,2868.28
2013-02-21,2858.81
2013-02-22,2875.6
2013-02-25,2881.7
2013-02-26,2884.43
2013-02-27,2885.94
2013-02-28,2879.05
2013-03-04,2869.76
2013-03-05,2894.96
2013-03-06,2883.29
2013-03-07,2874.27
2013-03-08,2881.7
2013-03-11,2892.04
