,AUD
2012-04-26,1180.19
2012-04-27,1179.22
2012-04-30,1185.86
2012-05-02,1169.17
2012-05-03,1162.4
2012-05-04,1160.17
2012-05-07,1146.27
2012-05-08,1162.7
2012-05-09,1146.6
2012-05-10,1146.04
2012-05-11,1148.96
2012-05-14,1146.57
2012-05-15,1145.31
2012-05-16,1146.77
2012-05-17,1152.66
2012-05-18,1150.4
2012-05-21,1150.17
2012-05-22,1156.49
2012-05-23,1139.98
2012-05-24,1144.46
2012-05-25,1149.42
2012-05-29,1161.4
2012-05-30,1158.98
2012-05-31,1143.11
2012-06-01,1148.99
2012-06-04,1140.7
2012-06-05,1150.01
2012-06-07,1150.01
2012-06-08,1159.64
2012-06-11,1171.24
2012-06-12,1150.6
2012-06-13,1166.17
2012-06-14,1161.03
2012-06-15,1168.84
2012-06-18,1177.56
2012-06-19,1172.07
2012-06-20,1178.87
2012-06-21,1174.49
2012-06-22,1155.68
2012-06-25,1162.47
2012-06-26,1161.55
2012-06-27,1166.74
2012-06-28,1166.82
2012-06-29,1157.03
2012-07-02,1179.83
2012-07-03,1171.61
2012-07-04,1174.08
2012-07-05,1166.18
2012-07-06,1168.04
2012-07-09,1161.74
2012-07-10,1166.16
2012-07-11,1164.13
2012-07-12,1171.96
2012-07-13,1162.24
2012-07-16,1178.98
2012-07-17,1175.37
2012-07-18,1178.55
2012-07-19,1181.19
2012-07-20,1186.93
2012-07-23,1180.34
2012-07-24,1177.06
2012-07-25,1172.9
2012-07-26,1186.58
2012-07-27,1192.57
2012-07-30,1194.79
2012-07-31,1193.18
2012-08-01,1188.78
2012-08-02,1179.98
2012-08-03,1181.95
2012-08-06,1199.7
2012-08-07,1189.98
2012-08-08,1188.91
2012-08-09,1192.01
2012-08-10,1190.96
2012-08-13,1190.77
2012-08-14,1189.85
2012-08-16,1185.2
2012-08-17,1191.62
2012-08-20,1180.96
2012-08-21,1186.65
2012-08-22,1185.39
2012-08-23,1191.2
2012-08-24,1178.97
2012-08-27,1180.64
2012-08-28,1176.71
2012-08-29,1179.11
2012-08-30,1173.01
2012-08-31,1168.01
2012-09-03,1167.69
2012-09-04,1159.13
2012-09-05,1155.79
2012-09-06,1156.91
2012-09-07,1166.09
2012-09-10,1172.27
2012-09-11,1166.97
2012-09-12,1177.97
2012-09-13,1178.23
2012-09-14,1189.21
2012-09-17,1180.73
2012-09-18,1167.74
2012-09-19,1166.99
2012-09-20,1170.22
2012-09-21,1166.84
2012-09-24,1168.65
2012-09-25,1167.11
2012-09-26,1160.44
2012-09-27,1162.0
2012-09-28,1168.1
2012-10-02,1152.8
2012-10-04,1138.51
2012-10-05,1140.41
2012-10-08,1128.98
2012-10-09,1133.36
2012-10-10,1133.03
2012-10-11,1139.04
2012-10-12,1143.45
2012-10-15,1136.66
2012-10-16,1139.79
2012-10-17,1139.7
2012-10-18,1146.27
2012-10-19,1146.4
2012-10-22,1139.56
2012-10-23,1141.68
2012-10-24,1131.24
2012-10-25,1141.78
2012-10-26,1139.84
2012-10-29,1135.21
2012-10-30,1131.85
2012-10-31,1135.18
2012-11-01,1131.28
2012-11-02,1136.06
2012-11-05,1128.68
2012-11-06,1132.47
2012-11-07,1138.38
2012-11-08,1131.51
2012-11-09,1131.95
2012-11-12,1132.37
2012-11-13,1134.55
2012-11-14,1137.78
2012-11-15,1127.04
2012-11-16,1123.0
2012-11-19,1127.7
2012-11-20,1131.3
2012-11-21,1124.86
2012-11-22,1123.98
2012-11-23,1125.84
2012-11-26,1136.65
2012-11-27,1135.51
2012-11-28,1132.4
2012-11-29,1137.01
2012-11-30,1130.91
2012-12-03,1129.56
2012-12-04,1129.28
2012-12-05,1134.53
