,IDR(100)
2012-07-18,12.11
2012-07-19,12.07
2012-07-20,12.05
2012-07-23,12.07
2012-07-24,12.13
2012-07-25,12.13
2012-07-26,12.14
2012-07-27,12.1
2012-07-30,12.06
2012-07-31,12.02
2012-08-01,12.0
2012-08-02,11.94
2012-08-03,11.94
2012-08-06,11.99
2012-08-07,11.9
2012-08-08,11.91
2012-08-09,11.91
2012-08-10,11.89
2012-08-13,11.9
2012-08-14,11.93
2012-08-16,11.89
2012-08-17,11.94
2012-08-20,11.94
2012-08-21,11.97
2012-08-22,11.93
2012-08-23,11.94
2012-08-24,11.91
2012-08-27,11.93
2012-08-28,11.93
2012-08-29,11.93
2012-08-30,11.88
2012-08-31,11.89
2012-09-03,11.9
2012-09-04,11.87
2012-09-05,11.83
2012-09-06,11.86
2012-09-07,11.86
2012-09-10,11.81
2012-09-11,11.78
2012-09-12,11.79
2012-09-13,11.77
2012-09-14,11.78
2012-09-17,11.79
2012-09-18,11.78
2012-09-19,11.76
2012-09-20,11.71
2012-09-21,11.72
2012-09-24,11.73
2012-09-25,11.71
2012-09-26,11.68
2012-09-27,11.69
2012-09-28,11.68
2012-10-02,11.62
2012-10-04,11.61
2012-10-05,11.61
2012-10-08,11.58
2012-10-09,11.59
2012-10-10,11.58
2012-10-11,11.62
2012-10-12,11.64
2012-10-15,11.6
2012-10-16,11.6
2012-10-17,11.55
2012-10-18,11.54
2012-10-19,11.52
2012-10-22,11.52
2012-10-23,11.51
2012-10-24,11.47
2012-10-25,11.48
2012-10-26,11.47
2012-10-29,11.42
2012-10-30,11.41
2012-10-31,11.38
2012-11-01,11.35
2012-11-02,11.34
2012-11-05,11.35
2012-11-06,11.35
2012-11-07,11.35
2012-11-08,11.32
2012-11-09,11.3
2012-11-12,11.33
2012-11-13,11.31
2012-11-14,11.33
2012-11-15,11.3
2012-11-16,11.29
2012-11-19,11.32
2012-11-20,11.29
2012-11-21,11.24
2012-11-22,11.24
2012-11-23,11.26
2012-11-26,11.3
2012-11-27,11.3
2012-11-28,11.29
2012-11-29,11.31
2012-11-30,11.3
2012-12-03,11.29
2012-12-04,11.29
2012-12-05,11.29
2012-12-06,11.28
2012-12-07,11.27
2012-12-10,11.25
2012-12-11,11.21
2012-12-12,11.18
2012-12-13,11.17
2012-12-14,11.13
2012-12-17,11.14
2012-12-18,11.13
2012-12-20,11.11
2012-12-21,11.12
2012-12-24,11.14
2012-12-26,11.13
2012-12-27,11.12
2012-12-28,11.1
2012-12-31,11.11
2013-01-02,11.11
2013-01-03,11.03
2013-01-04,11.02
2013-01-07,11.02
2013-01-08,11.0
2013-01-09,10.99
2013-01-10,10.99
2013-01-11,10.98
2013-01-14,10.97
2013-01-15,10.96
2013-01-16,10.94
2013-01-17,10.97
2013-01-18,10.97
2013-01-21,10.97
2013-01-22,11.02
2013-01-23,11.06
2013-01-24,11.07
2013-01-25,11.1
2013-01-29,11.19
2013-01-30,11.24
2013-01-31,11.18
2013-02-01,11.23
2013-02-04,11.25
2013-02-05,11.26
2013-02-06,11.23
2013-02-07,11.21
2013-02-08,11.24
2013-02-12,11.37
2013-02-13,11.34
2013-02-14,11.26
2013-02-15,11.23
2013-02-18,11.16
2013-02-19,11.18
2013-02-20,11.15
2013-02-21,11.13
2013-02-22,11.17
2013-02-25,11.19
2013-02-26,11.2
2013-02-27,11.21
2013-02-28,11.21
2013-03-04,11.18
2013-03-05,11.24
2013-03-06,11.21
2013-03-07,11.19
2013-03-08,11.21
2013-03-11,11.26
2013-03-12,11.33
2013-03-13,11.29
2013-03-14,11.33
2013-03-15,11.39
2013-03-18,11.44
