,KWD
2012-02-02,4061.0
2012-02-03,4031.5
2012-02-06,4030.76
2012-02-07,4034.8
2012-02-08,4043.04
2012-02-09,4025.59
2012-02-10,4027.88
2012-02-13,4041.38
2012-02-14,4047.86
2012-02-15,4043.33
2012-02-16,4037.46
2012-02-17,4059.32
2012-02-20,4042.13
2012-02-21,4040.52
2012-02-22,4045.85
2012-02-23,4053.77
2012-02-24,4065.07
2012-02-27,4058.24
2012-02-28,4069.83
2012-02-29,4062.24
2012-03-02,4034.8
2012-03-05,4009.28
2012-03-06,4021.43
2012-03-07,4023.49
2012-03-08,4048.16
2012-03-09,4028.78
2012-03-12,4003.95
2012-03-13,4027.78
2012-03-14,4020.29
2012-03-15,4022.33
2012-03-16,4044.2
2012-03-19,4036.62
2012-03-20,4030.43
2012-03-21,4034.85
2012-03-22,4050.3
2012-03-23,4059.69
2012-03-26,4076.51
2012-03-27,4097.86
2012-03-28,4089.94
2012-03-29,4090.94
2012-03-30,4095.6
2012-04-02,4085.44
2012-04-03,4064.35
2012-04-04,4036.51
2012-04-05,4049.99
2012-04-06,4051.73
2012-04-09,4059.67
2012-04-10,4086.5
2012-04-12,4091.25
2012-04-13,4110.32
2012-04-16,4073.64
2012-04-17,4092.59
2012-04-18,4097.5
2012-04-19,4082.61
2012-04-20,4096.62
2012-04-23,4098.49
2012-04-24,4095.73
2012-04-25,4105.77
2012-04-26,4100.48
2012-04-27,4093.1
2012-04-30,4076.92
2012-05-02,4080.93
2012-05-03,4056.52
2012-05-04,4061.83
2012-05-07,4067.22
2012-05-08,4093.82
2012-05-09,4081.43
2012-05-10,4095.27
2012-05-11,4106.76
2012-05-14,4116.46
2012-05-15,4119.42
2012-05-16,4134.48
2012-05-17,4160.04
2012-05-18,4161.72
2012-05-21,4202.4
2012-05-22,4174.99
2012-05-23,4165.71
2012-05-24,4186.89
2012-05-25,4199.79
2012-05-29,4211.2
2012-05-30,4201.48
2012-05-31,4190.12
2012-06-01,4205.73
2012-06-04,4205.29
2012-06-05,4215.75
2012-06-07,4215.75
2012-06-08,4175.7
2012-06-11,4192.13
2012-06-12,4156.43
2012-06-13,4174.54
2012-06-14,4166.7
2012-06-15,4167.89
2012-06-18,4163.24
2012-06-19,4138.03
2012-06-20,4144.27
2012-06-21,4121.94
2012-06-22,4113.08
2012-06-25,4126.23
2012-06-26,4138.62
2012-06-27,4137.92
2012-06-28,4125.13
2012-06-29,4108.54
2012-07-02,4115.99
2012-07-03,4080.56
2012-07-04,4078.02
2012-07-05,4049.29
2012-07-06,4046.93
2012-07-09,4044.19
2012-07-10,4063.46
2012-07-11,4056.85
2012-07-12,4060.26
2012-07-13,4064.99
2012-07-16,4085.88
2012-07-17,4077.6
2012-07-18,4058.13
2012-07-19,4048.72
2012-07-20,4041.46
2012-07-23,4042.17
2012-07-24,4063.71
2012-07-25,4067.09
2012-07-26,4078.75
2012-07-27,4069.53
2012-07-30,4042.92
2012-07-31,4028.22
2012-08-01,4019.44
2012-08-02,4000.0
2012-08-03,4009.93
2012-08-06,4025.67
2012-08-07,3995.67
2012-08-08,4001.49
2012-08-09,3996.46
2012-08-10,3985.98
2012-08-13,4002.48
2012-08-14,4007.08
2012-08-16,3993.14
2012-08-17,4010.69
2012-08-20,4012.68
2012-08-21,4021.18
2012-08-22,4018.09
2012-08-23,4025.21
2012-08-24,4009.93
2012-08-27,4018.79
2012-08-28,4027.24
2012-08-29,4031.19
2012-08-30,4017.57
2012-08-31,4022.69
2012-09-03,4023.69
2012-09-04,4012.76
2012-09-05,4010.06
2012-09-06,4026.54
2012-09-07,4022.12
2012-09-10,4015.84
2012-09-11,4007.81
2012-09-12,4016.15
2012-09-13,4006.12
2012-09-14,4018.96
2012-09-17,3995.58
2012-09-18,3977.17
2012-09-19,3982.82
2012-09-20,3982.25
2012-09-21,3984.04
2012-09-24,3987.6
2012-09-25,3987.89
2012-09-26,3981.92
2012-09-27,3988.26
2012-09-28,3984.33
2012-10-02,3955.57
2012-10-04,3958.66
2012-10-05,3968.56
2012-10-08,3953.3
2012-10-09,3954.8
2012-10-10,3948.8
2012-10-11,3961.11
2012-10-12,3965.44
2012-10-15,3950.16
2012-10-16,3956.1
2012-10-17,3939.44
2012-10-18,3937.57
2012-10-19,3936.16
2012-10-22,3935.55
2012-10-23,3930.92
2012-10-24,3918.59
2012-10-25,3927.06
2012-10-26,3918.88
2012-10-29,3901.44
2012-10-30,3896.53
2012-10-31,3890.69
2012-11-01,3877.28
2012-11-02,3877.1
2012-11-05,3872.11
2012-11-06,3874.02
2012-11-07,3875.24
2012-11-08,3854.28
2012-11-09,3859.14
2012-11-12,3859.72
2012-11-13,3853.29
2012-11-14,3862.34
2012-11-15,3851.58
2012-11-16,3850.41
2012-11-19,3860.03
2012-11-20,3851.52
2012-11-21,3836.62
2012-11-22,3838.55
2012-11-23,3841.19
2012-11-26,3845.31
2012-11-27,3852.63
2012-11-28,3848.42
2012-11-29,3851.8
2012-11-30,3850.55
2012-12-03,3845.5
2012-12-04,3850.12
2012-12-05,3852.33
2012-12-06,3848.48
2012-12-07,3849.19
2012-12-10,3848.83
2012-12-11,3835.14
2012-12-12,3824.82
2012-12-13,3822.81
2012-12-14,3806.53
2012-12-17,3816.28
2012-12-18,3815.03
2012-12-20,3809.76
2012-12-21,3817.08
2012-12-24,3819.16
2012-12-26,3816.9
2012-12-27,3816.6
2012-12-28,3814.55
2012-12-31,3808.76
2013-01-02,3809.17
2013-01-03,3781.16
2013-01-04,3779.71
2013-01-07,3773.81
2013-01-08,3772.93
2013-01-09,3769.95
2013-01-10,3761.78
2013-01-11,3767.62
2013-01-14,3752.98
2013-01-15,3750.49
2013-01-16,3745.34
2013-01-17,3757.76
2013-01-18,3761.15
2013-01-21,3753.69
2013-01-22,3761.93
2013-01-23,3778.89
2013-01-24,3782.04
2013-01-25,3792.69
2013-01-29,3844.11
2013-01-30,3866.52
2013-01-31,3852.2
2013-02-01,3869.58
2013-02-04,3883.8
2013-02-05,3869.94
2013-02-06,3861.43
2013-02-07,3868.54
2013-02-08,3867.57
2013-02-12,3877.35
2013-02-13,3877.12
2013-02-14,3853.85
2013-02-15,3845.77
2013-02-18,3819.74
2013-02-19,3832.89
2013-02-20,3830.68
2013-02-21,3811.85
2013-02-22,3831.01
2013-02-25,3841.58
2013-02-26,3843.08
2013-02-27,3845.2
2013-02-28,3832.63
2013-03-04,3820.27
2013-03-05,3842.96
2013-03-06,3827.46
2013-03-07,3815.09
2013-03-08,3821.32
2013-03-11,3832.2
2013-03-12,3862.09
2013-03-13,3850.08
2013-03-14,3857.64
2013-03-15,3884.83
2013-03-18,3895.89
2013-03-19,3917.9
2013-03-20,3896.12
2013-03-21,3919.54
2013-03-22,3914.71
2013-03-25,3925.37
2013-03-26,3911.74
2013-03-27,3887.78
2013-03-28,3886.07
2013-03-29,3896.91
2013-04-01,3888.09
2013-04-02,3909.92
2013-04-03,3897.31
2013-04-04,3927.8
2013-04-05,3939.01
2013-04-08,3950.58
2013-04-09,3983.55
2013-04-10,3991.52
2013-04-11,3989.42
2013-04-12,3961.4
2013-04-15,3968.77
2013-04-16,3947.7
2013-04-17,3935.05
2013-04-18,3913.47
2013-04-19,3938.09
2013-04-22,3923.87
2013-04-23,3936.34
2013-04-24,3926.67
2013-04-25,3923.99
2013-04-26,3907.74
2013-04-29,3893.3
2013-04-30,3894.63
2013-05-02,3879.76
2013-05-03,3862.53
2013-05-06,3863.77
2013-05-07,3844.67
2013-05-08,3841.02
2013-05-09,3824.95
2013-05-10,3817.38
2013-05-13,3862.67
2013-05-14,3901.57
2013-05-15,3885.13
2013-05-16,3891.67
2013-05-20,3894.11
2013-05-21,3903.98
2013-05-22,3885.42
2013-05-23,3881.23
2013-05-24,3920.11
2013-05-27,3943.5
2013-05-28,3925.0
2013-05-29,3926.8
2013-05-30,3962.44
2013-05-31,3946.07
2013-06-03,3943.99
2013-06-04,3953.53
2013-06-05,3929.25
2013-06-07,3927.02
2013-06-10,3899.65
2013-06-11,3943.56
2013-06-12,3978.87
2013-06-13,3984.5
2013-06-14,4006.64
2013-06-17,3983.05
2013-06-18,3982.77
2013-06-19,3989.06
2013-06-20,4000.71
2013-06-21,4041.67
2013-06-24,4080.51
2013-06-25,4066.13
2013-06-26,4070.59
2013-06-27,4047.73
2013-06-28,4030.5
2013-07-01,4011.7
2013-07-02,3983.11
2013-07-03,3963.96
2013-07-04,3993.56
2013-07-05,3984.21
2013-07-08,3981.1
2013-07-09,4018.99
2013-07-10,3989.2
2013-07-11,3970.02
2013-07-12,3921.56
2013-07-15,3924.81
2013-07-16,3928.88
2013-07-17,3921.64
2013-07-18,3919.03
2013-07-19,3929.62
2013-07-22,3937.96
2013-07-23,3924.97
2013-07-24,3918.09
2013-07-25,3907.61
2013-07-26,3922.0
2013-07-29,3906.87
2013-07-30,3901.12
2013-07-31,3913.55
2013-08-01,3937.4
2013-08-02,3943.73
2013-08-05,3957.8
2013-08-06,3926.49
2013-08-07,3911.4
2013-08-08,3925.17
2013-08-09,3912.17
2013-08-12,3905.85
2013-08-13,3912.81
2013-08-14,3922.5
2013-08-16,3933.04
2013-08-19,3917.92
2013-08-20,3912.66
2013-08-21,3945.49
2013-08-22,3932.96
2013-08-23,3946.85
2013-08-26,3932.48
2013-08-27,3911.85
2013-08-28,3922.52
2013-08-29,3917.1
2013-08-30,3906.12
2013-09-02,3885.15
2013-09-03,3862.38
2013-09-04,3831.55
2013-09-05,3846.93
2013-09-06,3825.01
2013-09-09,3832.62
2013-09-10,3815.84
2013-09-11,3807.33
2013-09-12,3818.41
2013-09-13,3806.58
2013-09-16,3817.85
2013-09-17,3810.3
2013-09-23,3823.82
2013-09-24,3799.08
2013-09-25,3793.81
2013-09-26,3802.26
2013-09-27,3792.45
2013-09-30,3799.23
2013-10-01,3799.56
2013-10-02,3795.34
2013-10-04,3803.22
2013-10-07,3788.58
2013-10-08,3780.01
2013-10-10,3793.51
2013-10-11,3807.79
2013-10-14,3789.38
2013-10-15,3787.84
2013-10-16,3780.18
2013-10-17,3767.08
2013-10-18,3767.79
2013-10-21,3759.03
2013-10-22,3762.62
2013-10-23,3767.43
2013-10-24,3748.45
2013-10-25,3752.26
2013-10-28,3770.36
2013-10-29,3765.43
2013-10-30,3765.39
2013-10-31,3762.5
